order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,34,2,275.98,0
2,2,8,5,408.88,2044.4
3,2,52,2,158.39,316.78
4,2,20,,287.02,1148.08
5,2,53,,470.48,2352.4
6,3,41,5,268.87,1344.35
7,3,76,4,14.77,59.08
8,3,85,5,492.59,2462.95
9,3,29,5,,1027.9
10,4,60,4,158.57,634.28
11,4,,1,291.79,291.79
12,4,83,4,177.32,709.28
13,5,87,1,311.01,311.01
14,5,46,2,251.7,503.4
15,5,62,4,170.9,683.6
16,6,93,2,168.83,337.66
17,6,58,2,157.01,314.02
18,6,22,4,221.03,884.12
19,6,51,3,151.57,454.71
20,7,6,3,452.67,1358.01
21,,20,1,287.02,287.02
22,7,45,3,291.79,875.37
23,7,17,3,214.27,642.81
24,7,17,2,214.27,428.54
25,8,19,3,111.64,334.92
26,8,100006,,289.43,1447.15
27,9,1,4,484.6,1938.4
28,9,26,1,154.86,154.86
29,9,42,5,399.2,1996
30,10,20,,,861.06
31,10,53,N/A,470.48,1411.44
32,10,16,3,65.16,195.48
33,10,26,5,154.86,774.3
34,,67,4,22.54,90.16
35,11,29,2,205.58,411.16
36,11,35,1,460.47,460.47
37,11,86,-2,179.5,359
38,12,25,4,385.98,N/A
39,12,15,,47.74,206952.9
40,12,39,3,14.99,44.97
41,13,78,0,,1939.84
42,14,22,5,221.03,1105.15
43,14,25,5,385.98,1929.9
44,15,35,2,460.47,920.94
45,15,34,2,275.98,551.96
46,16,80,2,,
47,16,,4,408.88,1635.52
48,16,13,1,95.9,N/A
49,17,6,4,452.67,1810.68
50,18,91,5,129.46,647.3
51,18,86,4,179.5,718
52,18,67,5,22.54,112.7
53,19,61,4,79.84,319.36
54,19,90,3,288.52,865.56
55,19,1,4,484.6,1938.4
56,20,87,5,311.01,1555.05
57,20,62,4,170.9,683.6
58,,87,1,,311.01
59,,71,2,455,910
60,20,45,5,291.79,1458.95
61,21,20,1,287.02,287.02
62,21,7,3,289.43,
63,21,67,2,22.54,45.08
64,22,10,4,44.37,177.48
65,22,52,1,158.39,158.39
66,,,5,44.37,221.85
67,22,71,1,,455
68,23,66,1,293.11,293.11
69,23,68,2,98.06,N/A
70,23,100034,3,460.47,1381.41
71,24,61,3,79.84,239.52
72,24,19,2,111.64,223.28
73,25,41,3,268.87,
74,25,72,1,445.53,445.53
75,26,5,4,,1736.04
76,26,,3,281.92,845.76
77,26,,5,491.31,2456.55
78,26,71,2,N/A,910
79,26,16,1,,65.16
80,27,93,1,168.83,168.83
81,27,72,2,445.53,891.06
82,27,,1,,184.49
83,27,,2,191.88,383.76
84,28,10,1,44.37,44.37
85,28,50,,,1476.65
86,28,19,3,111.64,334.92
87,29,16,1,65.16,65.16
88,29,,5,224.75,1123.75
89,29,17,2,214.27,428.54
90,30,73,,158.94,
91,30,27,5,442.48,2212.4
92,30,48,4,491.31,1965.24
93,100030,58,2,157.01,314.02
94,32,32,3,218.69,656.07
95,,,1,154.86,154.86
96,,28,2,402.01,804.02
97,32,,2,,88.74
98,33,39,3,,44.97
99,33,,3,158.39,475.17
100,33,32,5,218.69,1093.45
101,33,98,1,85.79,85.79
102,33,74,4,340.82,1363.28
103,34,39,1,14.99,14.99
104,34,20,1,287.02,287.02
105,34,47,1,191.88,191.88
106,34,21,,286.66,286.66
107,34,94,5,,1409.6
108,35,27,3,442.48,1327.44
109,35,79,1,484.71,484.71
110,36,7,1,289.43,N/A
111,36,100064,4,24.15,96.6
112,37,71,1,455,455
113,37,86,3,0,538.5
114,38,,5,452.51,2262.55
115,39,24,3,392.62,1177.86
116,40,84,1,362.96,362.96
