product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Mega Pack 1,Detailed description of product 1,2,4,1,484.6,281.07,15.8,true,05/17/2022,2025-12-18
2,SKU-000002,Super Tool 2,Detailed description of product 2,4,6,,497.46,238.78,48.6,true,2022-12-15,2024-05-17
3,SKU-000003,Super Gadget 3,Detailed description of product 3,6,1,,88.56,55.79,,false,2022-08-10,2024-08-10
4,SKU-000004,Premium Gadget 4,Detailed description of product 4,4,2,3,49.43,27.68,23.2,true,2022-11-04,2026-01-28
5,SKU-000005,ULTRA SET 5,Detailed description of product 5,,2,3,434.01,273.43,31.9,true,2022-07-26,2024-11-04
6,SKU-000006,,Detailed description of product 6,4,15,,452.67,271.6,4.8,,2022-03-31,2024-02-16
7,SKU-000007,Max Kit 7,Detailed description of product 7,1,4,1,289.43,115.77,34.8,false,2022-06-14,10 Aug 2025
8,SKU-000008,Smart Tool 8,Detailed description of product 8,10,2,3,408.88,269.86,11.1,true,2023-02-25,2026-01-12
9,SKU-000009,Mini Product 9,Detailed description of product 9,7,100004,4,272.09,108.84,47.4,true,2022-07-17,2024-06-05
10,SKU-000010,Mini Product 10,Detailed description of product 10,2,100010,2,44.37,18.64,21.7,false,2023-06-09,2024-08-14
11,SKU-000011,Premium Tool 11,Detailed description of product 11,10,13,5,327.28,206.19,42.7,false,2023-10-09,2024-07-04
12,SKU-000012,Pro Device 12,Detailed description of product 12,10,14,7,25.24,15.9,13.4,true,2023-09-10,18 May 2026
13,SKU-000013,Mega Item 13,  Detailed description of product 13  ,2,,4,,46.99,0.7,true,2022-07-20,
14,SKU-000014,  Ultra Pack 14  ,Detailed description of product 14,8,15,3,73.79,35.42,42.5,false,2022-07-17,2026-05-22
15,SKU-000015,Smart Kit 15,Detailed description of product 15,2,13,7,47.74,20.53,,false,2026-11-24,2024-06-01
16,SKU-000016,Super Gear 16,Detailed description of product 16,8,100006,1,65.16,35.19,27.7,true,2023-10-19,2024-01-30
17,SKU-000017,Ultra Widget 17,,8,1,5,214.27,124.28,47.7,true,2022-02-06,2026-05-01
18,SKU-000018,premium product 18,Detailed description of product 18,8,10,5,95.05,46.57,27.2,true,2027-04-17,2024-01-26
19,SKU-000019,Super Pack 19,Detailed description of product 19,9,4,6,57494.6,77.03,36.3,true,2022-11-19,2025-10-15
20,SKU-000020,Max Widget 20,,9,9,6,,137.77,44.9,true,2023-06-12,2025-05-29
21,SKU-000021,Mini Set 21,Detailed description of product 21,10,12,,,134.73,18.8,true,2022-04-22,2025-01-29
22,SKU-000022,Premium Widget 22,Detailed description of product 22,1,,,221.03,117.15,0.1,true,2023-09-06,2024-02-25
23,SKU-000023,Smart Gear 23,Detailed description of product 23,,1,5,133.11,74.54,,true,,2024-03-27
24,,Pro Tool 24,Detailed description of product 24,3,9,,392.62,259.13,44.6,true,2022-04-05,2024-09-11
25,SKU-000025,Mini Device 25,Detailed description of product 25,1,4,2,385.98,154.39,0,true,2022-06-16,2024-11-22
26,SKU-000026,Super Pack 26,  Detailed description of product 26  ,1,4,8,154.86,,18.6,false,2023-07-07,2025-05-23
27,SKU-000027,,Detailed description of product 27,,4,2,442.48,265.49,0.1,true,2023-03-03,2024-09-03
