order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,34,2.0,275.98,0.0
2,2,8,5.0,408.88,2044.4
3,2,52,2.0,158.39,316.78
4,2,20,0.0,287.02,1148.08
5,2,53,0.0,470.48,2352.4
6,3,41,5.0,268.87,1344.35
7,3,76,4.0,14.77,59.08
8,3,85,5.0,492.59,2462.95
9,3,29,5.0,0.0,1027.9
10,4,60,4.0,158.57,634.28
12,4,83,4.0,177.32,709.28
13,5,87,1.0,311.01,311.01
14,5,46,2.0,251.7,503.4
15,5,62,4.0,170.9,683.6
16,6,93,2.0,168.83,337.66
17,6,58,2.0,157.01,314.02
18,6,22,4.0,221.03,884.12
19,6,51,3.0,151.57,454.71
20,7,6,3.0,452.67,1358.01
22,7,45,3.0,291.79,875.37
23,7,17,3.0,214.27,642.81
24,7,17,2.0,214.27,428.54
25,8,19,3.0,111.64,334.92
26,8,100006,0.0,289.43,1447.15
27,9,1,4.0,484.6,1938.4
28,9,26,1.0,154.86,154.86
29,9,42,5.0,399.2,1996.0
30,10,20,0.0,0.0,861.06
31,10,53,0.0,470.48,1411.44
32,10,16,3.0,65.16,195.48
33,10,26,5.0,154.86,774.3
35,11,29,2.0,205.58,411.16
36,11,35,1.0,460.47,460.47
37,11,86,-2.0,179.5,359.0
38,12,25,4.0,385.98,0.0
39,12,15,0.0,47.74,206952.9
40,12,39,3.0,14.99,44.97
41,13,78,0.0,0.0,1939.84
42,14,22,5.0,221.03,1105.15
43,14,25,5.0,385.98,1929.9
44,15,35,2.0,460.47,920.94
45,15,34,2.0,275.98,551.96
46,16,80,2.0,0.0,0.0
48,16,13,1.0,95.9,0.0
49,17,6,4.0,452.67,1810.68
50,18,91,5.0,129.46,647.3
51,18,86,4.0,179.5,718.0
52,18,67,5.0,22.54,112.7
53,19,61,4.0,79.84,319.36
54,19,90,3.0,288.52,865.56
55,19,1,4.0,484.6,1938.4
56,20,87,5.0,311.01,1555.05
57,20,62,4.0,170.9,683.6
60,20,45,5.0,291.79,1458.95
61,21,20,1.0,287.02,287.02
62,21,7,3.0,289.43,0.0
63,21,67,2.0,22.54,45.08
64,22,10,4.0,44.37,177.48
65,22,52,1.0,158.39,158.39
67,22,71,1.0,0.0,455.0
68,23,66,1.0,293.11,293.11
69,23,68,2.0,98.06,0.0
70,23,100034,3.0,460.47,1381.41
71,24,61,3.0,79.84,239.52
72,24,19,2.0,111.64,223.28
73,25,41,3.0,268.87,0.0
74,25,72,1.0,445.53,445.53
75,26,5,4.0,0.0,1736.04
78,26,71,2.0,0.0,910.0
79,26,16,1.0,0.0,65.16
80,27,93,1.0,168.83,168.83
81,27,72,2.0,445.53,891.06
84,28,10,1.0,44.37,44.37
85,28,50,0.0,0.0,1476.65
86,28,19,3.0,111.64,334.92
87,29,16,1.0,65.16,65.16
89,29,17,2.0,214.27,428.54
90,30,73,0.0,158.94,0.0
91,30,27,5.0,442.48,2212.4
92,30,48,4.0,491.31,1965.24
93,100030,58,2.0,157.01,314.02
94,32,32,3.0,218.69,656.07
98,33,39,3.0,0.0,44.97
100,33,32,5.0,218.69,1093.45
101,33,98,1.0,85.79,85.79
102,33,74,4.0,340.82,1363.28
103,34,39,1.0,14.99,14.99
104,34,20,1.0,287.02,287.02
105,34,47,1.0,191.88,191.88
106,34,21,0.0,286.66,286.66
107,34,94,5.0,0.0,1409.6
108,35,27,3.0,442.48,1327.44
109,35,79,1.0,484.71,484.71
110,36,7,1.0,289.43,0.0
111,36,100064,4.0,24.15,96.6
112,37,71,1.0,455.0,455.0
113,37,86,3.0,0.0,538.5
115,39,24,3.0,392.62,1177.86
116,40,84,1.0,362.96,362.96
117,40,14,0.0,73.79,73.79
118,100039,67,5.0,22.54,112.7
119,40,12,5.0,25.24,126.2
120,41,42,3.0,399.2,1197.6
121,41,38,1.0,0.0,0.0
122,41,59,0.0,0.0,73.84
123,41,85,4.0,492.59,1970.36
124,42,100014,5.0,47.74,238.7
125,42,61,4.0,79.84,319.36
126,42,46,2.0,251.7,503.4
128,42,33,1.0,-218.48,218.48
129,43,53,3.0,470.48,1411.44
130,43,3,5.0,88.56,442.8
131,43,49,5.0,250.17,1250.85
132,43,40,3.0,161.35,484.05
134,44,93,5.0,168.83,844.15
135,44,39,1.0,14.99,14.99
136,45,57,5.0,0.0,1245.95
138,46,91,4.0,129.46,517.84
141,100046,79,4.0,484.71,1938.84
142,47,56,4.0,254.12,1016.48
143,47,73,1.0,158.94,158.94
144,47,86,2.0,179.5,359.0
145,48,76,4.0,0.0,59.08
147,100047,13,5.0,95.9,479.5
149,49,5,1.0,434.01,434.01
150,49,44,1.0,0.0,415.15
151,49,87,1.0,311.01,0.0
152,49,19,4.0,111.64,446.56
153,49,89,2.0,64.65,129.3
154,50,23,5.0,133.11,665.55
155,51,56,4.0,254.12,0.0
156,51,98,5.0,85.79,428.95
157,100050,19,5.0,111.64,558.2
158,51,5,3.0,434.01,0.0
159,52,72,1.0,445.53,445.53
160,53,48,1.0,491.31,491.31
161,53,42,3.0,399.2,1197.6
163,53,92,5.0,0.0,1634.5
164,54,39,0.0,14.99,0.0
165,54,43,3.0,0.0,1101.54
166,54,31,4.0,224.75,899.0
168,55,96,2.0,458.83,917.66
169,55,36,1.0,370.69,370.69
170,55,100039,4.0,161.35,645.4
171,56,89,1.0,0.0,64.65
172,56,53,2.0,0.0,940.96
173,56,9,3.0,0.0,816.27
174,57,4,1.0,49.43,49.43
175,57,65,3.0,24.15,72.45
176,57,91,4.0,129.46,517.84
177,58,20,3.0,114808.0,0.0
180,59,17,4.0,33211.85,857.08
181,59,68,1.0,98.06,98.06
182,59,89,2.0,64.65,129.3
183,59,15,3.0,47.74,0.0
184,60,95,3.0,184.49,553.47
185,60,27,0.0,442.48,1327.44
186,61,19,5.0,99247.96,558.2
187,61,27,1.0,442.48,442.48
188,61,27,3.0,442.48,1327.44
189,62,26,1.0,154.86,154.86
190,62,1,4.0,484.6,1938.4
191,62,71,2.0,455.0,910.0
192,62,96,1.0,458.83,458.83
193,62,100034,2.0,460.47,920.94
194,63,35,4.0,460.47,1841.88
195,63,76,5.0,14.77,73.85
196,63,42,1.0,399.2,399.2
197,63,87,1.0,311.01,311.01
198,64,3,5.0,88.56,442.8
199,64,15,4.0,47.74,190.96
201,65,78,4.0,0.0,1939.84
202,66,90,3.0,288.52,865.56
203,66,49,3.0,250.17,750.51
205,67,1,3.0,484.6,1453.8
206,67,58,0.0,157.01,628.04
207,67,30,4.0,476.64,1906.56
209,68,21,2.0,286.66,573.32
212,69,83,0.0,177.32,177.32
213,100068,87,3.0,311.01,933.03
214,69,62,1.0,170.9,170.9
215,69,18,4.0,95.05,0.0
216,69,69,4.0,0.0,780.8
217,70,52,4.0,158.39,633.56
218,70,13,4.0,95.9,383.6
219,70,98,2.0,85.79,171.58
220,71,38,4.0,61.02,244.08
221,71,81,4.0,199.52,798.08
222,71,98,4.0,85.79,343.16
223,72,88,4.0,265.4,0.0
224,72,36,4.0,370.69,0.0
225,72,60,5.0,158.57,792.85
226,72,7,0.0,289.43,289.43
227,73,45,5.0,291.79,1458.95
228,73,65,0.0,24.15,66581.55
229,73,32,3.0,218.69,656.07
230,73,100093,2.0,281.92,0.0
231,74,44,4.0,0.0,1660.6
232,74,72,2.0,445.53,891.06
233,74,60,4.0,158.57,634.28
234,74,70,1.0,452.51,452.51
235,75,31,1.0,224.75,224.75
237,75,77,1.0,375.81,375.81
238,76,46,1.0,251.7,251.7
240,76,5,1.0,434.01,434.01
241,77,83,4.0,177.32,709.28
243,77,52,2.0,158.39,316.78
244,78,53,2.0,470.48,940.96
245,78,53,5.0,470.48,2352.4
246,79,11,3.0,327.28,981.84
247,100078,61,3.0,79.84,0.0
248,80,5,3.0,434.01,0.0
249,81,70,3.0,452.51,1357.53
250,81,61,5.0,79.84,399.2
251,81,22,4.0,221.03,884.12
252,81,28,1.0,0.0,0.0
253,82,74,3.0,340.82,1022.46
254,82,61,4.0,79.84,319.36
256,82,46,3.0,0.0,755.1
257,82,73,5.0,0.0,794.7
258,83,58,4.0,157.01,628.04
259,83,62,5.0,170.9,854.5
260,83,10,5.0,44.37,221.85
262,83,46,5.0,0.0,1258.5
263,84,81,3.0,199.52,598.56
264,84,22,0.0,0.0,884.12
265,84,38,0.0,61.02,305.1
266,85,48,5.0,491.31,2456.55
267,85,15,2.0,47.74,95.48
268,86,62,0.0,170.9,683.6
269,86,100092,1.0,168.83,168.83
270,86,99,5.0,48.46,242.3
271,86,82,0.0,17.08,17.08
272,87,47,1.0,191.88,191.88
273,87,88,1.0,265.4,265.4
274,87,57,3.0,249.19,747.57
275,87,73,5.0,158.94,794.7
276,87,34,5.0,275.98,1379.9
277,88,9,2.0,272.09,0.0
278,88,87,1.0,311.01,311.01
280,88,79,2.0,484.71,969.42
281,89,66,4.0,293.11,0.0
282,89,33,1.0,218.48,218.48
283,89,73,2.0,158.94,317.88
284,89,41,0.0,268.87,1344.35
287,90,62,2.0,170.9,341.8
288,91,96,1.0,458.83,458.83
289,92,78,5.0,484.96,2424.8
290,93,63,2.0,422.48,844.96
291,93,7,1.0,289.43,289.43
292,94,87,1.0,311.01,311.01
293,94,9,2.0,272.09,544.18
294,100093,57,4.0,249.19,996.76
295,95,15,1.0,47.74,47.74
296,95,8,1.0,408.88,0.0
297,95,72,3.0,445.53,1336.59
299,96,100049,0.0,295.33,590.66
300,97,75,5.0,412.81,2064.05
301,97,83,3.0,177.32,531.96
302,98,85,4.0,492.59,1970.36
303,98,21,2.0,286.66,0.0
304,98,74,5.0,340.82,0.0
305,99,29,3.0,205.58,616.74
306,99,25,4.0,385.98,1543.92
307,100,15,5.0,-47.74,238.7
308,100,55,1.0,0.0,162.76
309,100,33,2.0,218.48,436.96
311,101,55,4.0,162.76,651.04
312,101,36,1.0,370.69,370.69
314,102,11,4.0,0.0,1309.12
315,102,98,1.0,85.79,85.79
316,102,62,4.0,170.9,0.0
319,103,95,4.0,184.49,737.96
320,103,13,0.0,95.9,479.5
322,103,90,0.0,288.52,865.56
323,103,80,5.0,177.68,0.0
324,104,61,3.0,79.84,0.0
326,105,28,2.0,402.01,804.02
327,105,92,2.0,326.9,653.8
329,105,44,4.0,415.15,1660.6
330,100104,58,4.0,157.01,0.0
331,106,94,2.0,281.92,563.84
332,106,4,1.0,49.43,49.43
333,107,92,5.0,326.9,1634.5
334,107,64,2.0,499.45,998.9
335,107,13,5.0,95.9,479.5
336,107,60,3.0,158.57,475.71
337,107,62,3.0,170.9,512.7
338,108,67,3.0,22.54,67.62
339,108,38,0.0,61.02,183.06
340,109,86,2.0,179.5,359.0
342,109,45,5.0,291.79,1458.95
343,109,21,0.0,286.66,859.98
344,110,55,5.0,162.76,813.8
345,110,13,2.0,87173.1,191.8
346,110,15,4.0,47.74,190.96
347,110,31,0.0,0.0,224.75
348,111,64,3.0,499.45,1498.35
350,111,80,1.0,177.68,177.68
351,111,37,5.0,426.49,2132.45
352,111,2,4.0,497.46,1989.84
353,112,73,0.0,158.94,158.94
355,112,28,2.0,402.01,804.02
358,113,61,2.0,79.84,159.68
359,113,78,0.0,484.96,2424.8
360,113,10,4.0,44.37,177.48
362,115,85,2.0,492.59,985.18
364,115,36,2.0,370.69,741.38
367,100115,31,4.0,224.75,899.0
369,116,30,2.0,476.64,-953.28
370,117,13,3.0,95.9,287.7
371,117,93,4.0,168.83,0.0
372,117,23,2.0,133.11,266.22
373,117,83,4.0,177.32,709.28
374,118,68,5.0,98.06,490.3
375,118,86,0.0,179.5,538.5
376,118,68,1.0,98.06,98.06
377,119,28,1.0,0.0,402.01
378,100118,47,3.0,191.88,575.64
379,120,60,5.0,158.57,792.85
380,121,100034,3.0,460.47,1381.41
381,121,31,5.0,224.75,1123.75
382,121,70,1.0,452.51,452.51
383,121,49,3.0,250.17,750.51
384,122,34,4.0,0.0,1103.92
385,122,32,1.0,218.69,218.69
386,122,51,-5.0,0.0,757.85
388,123,70,4.0,0.0,1810.04
389,123,47,4.0,191.88,767.52
390,124,9,2.0,272.09,544.18
391,124,46,5.0,0.0,0.0
392,125,15,2.0,0.0,0.0
393,125,99,4.0,48.46,193.84
394,125,90,5.0,288.52,1442.6
396,126,63,3.0,422.48,1267.44
397,126,97,2.0,0.0,519.98
398,126,40,0.0,161.35,806.75
399,126,12,1.0,25.24,25.24
400,127,57,5.0,249.19,1245.95
401,100126,94,3.0,281.92,845.76
402,127,100053,3.0,386.53,1159.59
403,128,75,1.0,412.81,412.81
404,128,88,5.0,265.4,1327.0
405,128,40,4.0,161.35,645.4
406,128,100029,3.0,476.64,1429.92
407,129,65,3.0,0.0,0.0
408,129,23,2.0,78801.12000000001,266.22
409,129,37,0.0,426.49,1279.47
410,130,17,5.0,214.27,1071.35
411,130,63,1.0,422.48,422.48
412,130,20,5.0,287.02,1435.1
413,130,60,3.0,158.57,475.71
416,131,30,4.0,476.64,1906.56
417,132,100096,5.0,259.99,1299.95
418,132,82,2.0,17.08,34.16
419,132,19,4.0,111.64,0.0
420,132,7,640.0,289.43,1157.72
421,132,2,1.0,497.46,497.46
422,133,48,3.0,491.31,1473.93
424,133,12,3.0,25.24,75.72
425,133,32,1.0,0.0,218.69
426,134,88,2.0,265.4,530.8
427,135,85,1.0,492.59,492.59
428,135,13,2.0,95.9,191.8
429,135,99,5.0,48.46,242.3
430,135,70,1.0,452.51,452.51
431,135,13,4.0,68664.40000000001,383.6
432,136,12,2.0,25.24,0.0
433,136,20,2.0,-287.02,574.04
436,137,11,2.0,327.28,654.56
438,138,49,3.0,250.17,750.51
439,100137,63,1.0,422.48,422.48
441,138,45,3.0,291.79,875.37
442,138,24,1.0,392.62,392.62
443,139,50,5.0,295.33,1476.65
444,140,29,3.0,205.58,616.74
445,140,71,2.0,455.0,910.0
446,141,63,1.0,422.48,422.48
447,142,33,0.0,218.48,0.0
450,100141,80,5.0,177.68,888.4
452,143,13,5.0,95.9,479.5
453,143,76,5.0,0.0,0.0
454,143,93,2.0,0.0,337.66
455,144,90,2.0,288.52,577.04
457,145,58,0.0,157.01,628.04
458,146,51,1.0,151.57,151.57
459,146,82,0.0,17.08,85.4
460,147,71,1.0,455.0,455.0
462,147,66,3.0,293.11,879.33
463,147,82,2.0,0.0,34.16
464,148,85,5.0,492.59,2462.95
465,148,27,3.0,442.48,1327.44
466,148,100,1.0,291.9,291.9
467,148,84,0.0,0.0,1451.84
468,148,77,1.0,375.81,375.81
469,149,58,3.0,0.0,471.03
470,149,100022,5.0,133.11,665.55
472,149,55,0.0,162.76,325.52
473,100148,39,5.0,14.99,74.95
474,100149,69,2.0,195.2,390.4
